text_id,en,ru
MEETING_CONFIRM_FINISH_BTN,Finish ☑️,
MEETING_CONFIRM_DELETE_TITLE,"Do you really want to cancel ""{title}""?",
MEETING_CONFIRM_DELETE_APPENDIX,This action cannot be undone and the meeting will be deleted.,
MEETING_CONFIRM_DELETE_STUDENT_NOTIFY,The notification will be sent to students 💌.,
MEETING_CONFIRM_DELETE_BTN,Cancel Meeting 🗑️,
CHANGE_INFO_BTN_SET_TITLE,Set Title,
CHANGE_INFO_BTN_SET_DESCRIPTION,Set Description,
CHANGE_INFO_BTN_SET_ROOM,Set Room,
CHANGE_INFO_BTN_SET_DATE,Set Date,
CHANGE_INFO_BTN_SET_DURATION,Set Duration,
CHANGE_SET_TITLE_PROMPT,"Enter new Title for ""{title}""",
CHANGE_SET_DESCRIPTION_PROMPT,"Enter new Description for ""{title}""",
CHANGE_SET_ROOM_PROMPT,"Enter new Room for ""{title}""",
CHANGE_SET_DATE_PROMPT,"Enter new Date for ""{title}""",
CHANGE_SET_TIME_PROMPT,"Enter new Time for ""{title}""",
CHANGE_SET_TIME_FORMAT_HINT,"Adhere to format 00:00, e.g. 20:32",
CHANGE_SET_DURATION_PROMPT,"Enter new Duration for ""{title}""",
CHANGE_SET_DURATION_FORMAT_HINT,"In format ""hh:mm""",
ATTENDANCE_BTN_RESEND_FILE,Resend File,
ATTENDANCE_BTN_ADD_EMAIL,Add email,
ATTENDANCE_BTN_DOWNLOAD_FILE,Download File,
ATTENDANCE_RESEND_TITLE,"Resend attendance file for ""{title}""",
ATTENDANCE_CLOSE_TITLE,"Send attendance file to close ""{title}""",
ATTENDANCE_ADD_EMAIL_PROMPT,Enter email of a person to add 👤,
TUTOR_PROFILE_HEADER_TUTOR_VIEW,🧑‍🏫 Your Tutor's Profile,
TUTOR_PROFILE_CONTROL_BTN_NAME,Profile Name,
TUTOR_PROFILE_CONTROL_BTN_ABOUT,About,
TUTOR_PROFILE_CONTROL_BTN_DISCIPLINES,Disciplines,
TUTOR_PROFILE_SET_NAME_PROMPT,Enter Profile Name,
TUTOR_PROFILE_SET_NAME_HINT,This name will be awailable to students,
TUTOR_PROFILE_SET_ABOUT_PROMPT,Write something about you,
TUTOR_PROFILE_SET_ABOUT_HINT,This will be awailable to students,
TUTOR_PROFILE_SELECT_DISCIPLINES_TITLE,Selected Disciplines,
TUTOR_PROFILE_BTN_CHOOSE_OTHER,Choose other,
TUTOR_PROFILE_BTN_SUBMIT,Submit,
NOTIF_TUTOR_PROMOTED_FOR_TUTOR,"You've been promoted to being a tutor!<br><br>- Restart the bot (<a href=""https://t.me/academic_notifications_bot?start=promoted_tutor"">click here</a>)<br>- Fill up your tutor profile",
NOTIF_TUTOR_DISMISSED_FOR_TUTOR,You've been dismissed from being a tutor<br><br>Your tutor profile won't be shown to students anymore,
NOTIF_TUTOR_ASSIGNED_FOR_TUTOR,"You have been assigned to meeting ""{title}""!<br>- Date & time: {datetime}<br>- Room: {room}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_TUTOR_CHANGED_FOR_NEW_TUTOR,"You have been assigned as the new tutor for meeting ""{title}"".<br>- Date & time: {datetime}<br>- Room: {room}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_TUTOR_CHANGED_FOR_OLD_TUTOR,"You are no longer the tutor for meeting ""{title}"".",
NOTIF_MEETING_FINISHED,"Meeting has finished!<br>""{title}""<br><br>‼️ Remember to upload the attendance file<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_CLOSED_FOR_TUTOR,"Meeting has been closed by the admin.<br>""{title}""<br>👥 Attendance count: {attendance_count}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
ROOT_ADMIN_APPENDIX,👑 <i>And admin panel is also available for you</i>,
ROOT_BTN_MEETINGS_CONTROL,⚙️ Meetings Control,
ROOT_BTN_TUTORS_CONTROL,⚙️ Tutors Control,
CHANGE_INFO_BTN_ASSIGN_TUTOR,Assign Tutor,
CHANGE_ASSIGN_TUTOR_TITLE,"Assign Tutor to ""{title}""",
CHANGE_ASSIGN_TUTOR_HINT,Here's the list of all tutors for reference,
TUTORS_ADMIN_LIST_TITLE,Tutors List,
TUTORS_ADMIN_BTN_ADD_NEW,Add New,
TUTORS_ADMIN_INFO_TITLE,Tutor [{id}] Info,
TUTORS_ADMIN_INFO_FULL_NAME,{full_name},
TUTORS_ADMIN_INFO_USERNAME,@{username},
TUTORS_ADMIN_INFO_TELEGRAM_ID,telegram id: <code>{telegram_id}</code>,
TUTORS_ADMIN_BTN_DISMISS,Dismiss,
TUTORS_ADMIN_BTN_PROFILE,Profile,
TUTORS_ADMIN_BTN_EDIT_PROFILE,Edit Profile,
TUTORS_ADMIN_ADD_PROMPT,Share contact of the new Tutor,
MEETING_INFO_ADMIN_STATUS,Status: <b>{status.name}</b>,
MEETING_INFO_ADMIN_ATTENDANCE,Attendance: <b>{attendance_count}</b>,
NOTIF_BOT_STARTED,"<a href=""{link}"">Academic Tutorship Bot</a> has been started 🚀",
NOTIF_BOT_SHUTDOWN,"<a href=""{link}"">Academic Tutorship Bot</a> has been shut down 💤",
NOTIF_MEETING_UPDATED_TITLE,"Changed title for meeting ""{old_title}""<br>- New title: ""{title}""<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_UPDATED_ROOM,"Changed room for meeting ""{title}""<br>- New room: {room}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_UPDATED_DATETIME,"Changed date for meeting ""{title}""<br>- New date & time: {datetime}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_UPDATED_TUTOR,"Changed tutor for meeting ""{title}""<br>- New tutor: @{username}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_TUTOR_PROMOTED_FOR_ADMINS,The student {full_name} @{username} was promoted to being a tutor,
NOTIF_TUTOR_DISMISSED_FOR_ADMINS,The student {full_name} @{username} is dismissed from being a tutor,
NOTIF_TUTOR_ASSIGNED_FOR_ADMINS,"Tutor @{username} assigned to meeting ""{title}""<br>- Date & time: {datetime}<br>- Room: {room}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_TUTOR_CHANGED_FOR_ADMINS,"Tutor changed for meeting ""{title}""<br>- Old tutor: @{old_username}<br>- New tutor: @{new_username}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_CLOSED_FOR_ADMINS,"Meeting has been closed by the tutor.<br>""{title}""<br><br>👥 Attendance count: {attendance_count}",
NOTIF_MEETING_APPROVE_REQUEST,"Meeting ""{title}"" is awaiting approval.<br>- Date & time: {datetime}<br>- Room: {room}<br>- Tutor: @{username}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_CONFIRM_APPROVE_APPENDIX,The meeting will be <u>automatically announced to students</u>. Are you sure?,
NOTIF_MEETING_APPROVED,"Meeting ""{title}"" has been approved!<br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_DISCARDED,"Meeting ""{title}"" has been discarded<br><br>Reason:<br><blockquote>{reason}</blockquote><br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_CANCELLED_FOR_USERS,"Meeting ""{title}"" has been cancelled 😞<br><br>Sorry for the inconvenience. We hope to see you in other meetings!",
NOTIF_MEETING_REMINDER,"Reminder: Meeting ""{title}"" is upcoming!<br>- Date & time: {datetime}<br>- Room: {room}<br>- Tutor: @{username}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_ANNOUNCED,"New meeting upcoming!<br>""{title}""<br>- Date & time: {datetime}<br>- Room: {room}<br>- Tutor: @{username}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
NOTIF_MEETING_STARTED,"Meeting has started!<br>""{title}""<br>- Room: {room}<br>- Tutor: @{username}<br><br>🔗 <a href=""{link}"">Click to see the details</a>",
GUIDE_INIT_TEXT,"Hello student!<br>Me name is ArThur, I am the bot of Academic Tutorship (AT for short).<br><br>The system helps to keep track of meetings (recaps, consultations) on various university disciplines of your choice.",
GUIDE_BTN_NEXT,Next ➡️,
GUIDE_DISCIPLINES_TEXT,You may choose the disciplines you're interested in.<br><br>Or skip and do that later in ⚙️ <b>Settings</b>.,
GUIDE_DISCIPLINES_NONE_SELECTED,📚 No disciplines selected yet,
GUIDE_DISCIPLINES_SELECTED_TITLE,📚 Selected Disciplines,
GUIDE_DISCIPLINES_ITEM,- [{item[language]} {item[year]}y] {item[name]},
GUIDE_BTN_CHOOSE,Choose,
GUIDE_BTN_CHOOSE_OTHER,Choose other,
GUIDE_BTN_BACK,⬅️ Back,
GUIDE_BTN_SKIP,Skip ➡️,
GUIDE_NOTIFICATIONS_TEXT,"The big part of my value are notifications about upcoming meetings.<br><br>We send notifications in different bot<br>Please activate it 👇 to continue<br>🔗 <a href=""{link}""><i>Academic Notifications Bot</i></a><br><br>(you may block notifications in ⚙️ Settings)",
GUIDE_BTN_FINISH,Finish guide 🎉,
